3.97,Mbits/sec
4.43,Mbits/sec
3.64,Mbits/sec
4.83,Mbits/sec
3.83,Mbits/sec
4.46,Mbits/sec
4.08,Mbits/sec
4.95,Mbits/sec
4.08,Mbits/sec
6.29,Mbits/sec
8.48,Mbits/sec
4.04,Mbits/sec
6.15,Mbits/sec
4.96,Mbits/sec
5.67,Mbits/sec
8.17,Mbits/sec
6.04,Mbits/sec
7.09,Mbits/sec
6.11,Mbits/sec
3.36,Mbits/sec
2.66,Mbits/sec
2.53,Mbits/sec
11.6,Mbits/sec
14.8,Mbits/sec
16.1,Mbits/sec
5.89,Mbits/sec
3.96,Mbits/sec
2.13,Mbits/sec
2.53,Mbits/sec
2.74,Mbits/sec
2.68,Mbits/sec
3,Mbits/sec
3.29,Mbits/sec
3.76,Mbits/sec
3.74,Mbits/sec
3.85,Mbits/sec
3.69,Mbits/sec
4.77,Mbits/sec
2.75,Mbits/sec
8.07,Mbits/sec
5.5,Mbits/sec
5.04,Mbits/sec
4.62,Mbits/sec
6.74,Mbits/sec
4.04,Mbits/sec
4.38,Mbits/sec
3.76,Mbits/sec
5.21,Mbits/sec
4.06,Mbits/sec
5.18,Mbits/sec
3.78,Mbits/sec
7.96,Mbits/sec
2.88,Mbits/sec
3.83,Mbits/sec
4.98,Mbits/sec
5.5,Mbits/sec
7.13,Mbits/sec
7.02,Mbits/sec
6.65,Mbits/sec
6.29,Mbits/sec
5.92,Mbits/sec
8.81,Mbits/sec
8.42,Mbits/sec
9.84,Mbits/sec
9.26,Mbits/sec
5.03,Mbits/sec
5.25,Mbits/sec
4.74,Mbits/sec
2.68,Mbits/sec
2.35,Mbits/sec
3.73,Mbits/sec
3.96,Mbits/sec
2.75,Mbits/sec
2.88,Mbits/sec
2.87,Mbits/sec
3.43,Mbits/sec
5.12,Mbits/sec
3.8,Mbits/sec
4.41,Mbits/sec
3.85,Mbits/sec
3.98,Mbits/sec
4.32,Mbits/sec
3.1,Mbits/sec
3.63,Mbits/sec
4.41,Mbits/sec
3.21,Mbits/sec
5.02,Mbits/sec
2.58,Mbits/sec
4.86,Mbits/sec
4.14,Mbits/sec
4.63,Mbits/sec
6.53,Mbits/sec
5.52,Mbits/sec
